SR NO,DIVISION,SUB DIVISION,SS NAME,FEEDER,CAT,TND CODE,TOTAL CONSUMER,TOTAL TC, FULLY ON,PARTIALLY ON,FULLY OFF,,,,,
114,Vishwamitri-East,Dandia Bazar,MOTIBAG,KALABHUVAN,URBAN,104405,4817,29,FALSE,FALSE,FALSE,,,,,
115,Vishwamitri-East,Dandia Bazar,MOTIBAG,SURSAGAR,URBAN,104408,1260,12,FALSE,FALSE,FALSE,,,,,
116,Vishwamitri-East,Dandia Bazar,MOTIBAG,SOUTH RING,URBAN,104410,4553,34,FALSE,FALSE,FALSE,,,,,
117,Vishwamitri-East,Dandia Bazar,MOTIBAG,CHIMANBAUG,URBAN,104412,2288,26,FALSE,FALSE,FALSE,,,,,
118,Vishwamitri-East,Indrapuri,KHATAMBA,JAGDISH,URBAN,30407,932,35,FALSE,FALSE,FALSE,,,,,
119,Vishwamitri-East,Indrapuri,KHATAMBA,VALLABHNAGAR,URBAN,30408,8276,105,FALSE,FALSE,FALSE,,,,,
120,Vishwamitri-East,Indrapuri,KHATAMBA,PUSHTIPRABHA,URBAN,30409,4790,67,FALSE,FALSE,FALSE,,,,,
121,Vishwamitri-East,Indrapuri,KHATAMBA,L&T SEZ,HTEX,30411,1,0,FALSE,FALSE,FALSE,,,,,
122,Vishwamitri-East,Indrapuri,KHATAMBA,L & T EXPRESS,HTEX,30445,1,0,FALSE,FALSE,FALSE,,,,,
123,Vishwamitri-East,Indrapuri,WAGHODIAROAD,WAGHODIYA ROAD,URBAN,31007,2854,42,FALSE,FALSE,FALSE,,,,,
124,Vishwamitri-East,Indrapuri,INDRAPURI,SHREEHARI,URBAN,31018,2961,16,FALSE,FALSE,FALSE,,,,,
125,Vishwamitri-East,Indrapuri,INDRAPURI,TULSI,URBAN,31026,4411,83,FALSE,FALSE,FALSE,,,,,
126,Vishwamitri-East,Indrapuri,INDRAPURI,KISMAT,URBAN,31046,1904,22,FALSE,FALSE,FALSE,,,,,
127,Vishwamitri-East,Indrapuri,WAGHODIAROAD,UMA,URBAN,143301,2713,30,FALSE,FALSE,FALSE,,,,,
128,Vishwamitri-East,Indrapuri,WAGHODIAROAD,GURUKUL,URBAN,143302,1689,18,FALSE,FALSE,FALSE,,,,,
129,Vishwamitri-East,Indrapuri,WAGHODIAROAD,SWIMMING POOL,URBAN,143303,1949,23,FALSE,FALSE,FALSE,,,,,
130,Vishwamitri-East,Indrapuri,WAGHODIAROAD,VAIKUNTH,URBAN,143304,3167,27,FALSE,FALSE,FALSE,,,,,
131,Vishwamitri-East,Indrapuri,WAGHODIAROAD,SHREEJI,URBAN,143306,3339,32,FALSE,FALSE,FALSE,,,,,
132,Vishwamitri-East,Indrapuri,WAGHODIAROAD,BALAJI,URBAN,143307,5134,114,FALSE,FALSE,FALSE,,,,,
133,Vishwamitri-East,Indrapuri,WAGHODIAROAD,TIRTH,URBAN,143308,2734,57,FALSE,FALSE,FALSE,,,,,
134,Vishwamitri-East,Indrapuri,WAGHODIAROAD,MANKI,URBAN,143310,2525,23,FALSE,FALSE,FALSE,,,,,
135,Vishwamitri-East,Indrapuri,WAGHODIAROAD,KALYAN,URBAN,143312,4009,51,FALSE,FALSE,FALSE,,,,,
136,Vishwamitri-East,Indrapuri,WAGHODIAROAD,WAGHODIA ROAD SST,SST,143399,3,1,FALSE,FALSE,FALSE,,,,,
137,Vishwamitri-East,Indrapuri,SAYAJIPURA,ANANTA,URBAN,310007,1839,52,FALSE,FALSE,FALSE,,,,,
138,Vishwamitri-East,Indrapuri,SAYAJIPURA,KAILASH,URBAN,310008,3305,44,FALSE,FALSE,FALSE,,,,,
139,Vishwamitri-East,Karelibaug,HARNI,ISHWAR SHANTI,URBAN,104302,2190,21,FALSE,FALSE,FALSE,,,,,
140,Vishwamitri-East,Karelibaug,HARNI,P & T,URBAN,104303,1649,25,FALSE,FALSE,FALSE,,,,,
141,Vishwamitri-East,Karelibaug,HARNI,KARELI BAUG,URBAN,104306,2357,30,FALSE,FALSE,FALSE,,,,,
142,Vishwamitri-East,Karelibaug,HARNI,BRIGHT FEEDER,URBAN,104307,1901,25,FALSE,FALSE,FALSE,,,,,
143,Vishwamitri-East,Karelibaug,HARNI,V.I.P.ROAD,URBAN,104308,2707,34,FALSE,FALSE,FALSE,,,,,
144,Vishwamitri-East,Karelibaug,HARNI,AMRAPALI,URBAN,104310,1513,26,FALSE,FALSE,FALSE,,,,,
145,Vishwamitri-East,Karelibaug,HARNI,BSNL,URBAN,104311,1454,31,FALSE,FALSE,FALSE,,,,,
146,Vishwamitri-East,Karelibaug,HARNI,SHRIJI SHRADDHA,URBAN,104312,1790,20,FALSE,FALSE,FALSE,,,,,
147,Vishwamitri-East,Karelibaug,HARNI,TULSIWADI (VRUNDAVAN),URBAN,104315,3656,24,FALSE,FALSE,FALSE,,,,,
148,Vishwamitri-East,Karelibaug,HARNI,HARNI SST,SST,104399,6,1,FALSE,FALSE,FALSE,,,,,
149,Vishwamitri-East,Karelibaug,SAMA,DHYAN,URBAN,107105,4458,87,FALSE,FALSE,FALSE,,,,,
150,Vishwamitri-East,Karelibaug,SAMA,GOLDAN FEEDER,URBAN,107109,2661,52,FALSE,FALSE,FALSE,,,,,
151,Vishwamitri-East,Karelibaug,SAMA,AMIT NAGAR,URBAN,107112,1482,27,FALSE,FALSE,FALSE,,,,,
152,Vishwamitri-East,Karelibaug,SAMA,ADINATH,URBAN,107114,2329,23,FALSE,FALSE,FALSE,,,,,
153,Vishwamitri-East,Karelibaug,SAMA,MOTHNATH (SURAMYA),URBAN,107118,2722,97,FALSE,FALSE,FALSE,,,,,
154,Vishwamitri-East,Karelibaug,SAMA,11KV ICONIC FEEDER,URBAN,107122,1927,39,FALSE,FALSE,FALSE,,,,,
155,Vishwamitri-East,Khodiyar Nagar,INDRAPURI,WARASIYA,URBAN,31001,6901,49,FALSE,FALSE,FALSE,,,,,
156,Vishwamitri-East,Khodiyar Nagar,INDRAPURI,AERODROME,URBAN,31003,4169,59,FALSE,FALSE,FALSE,,,,,
157,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,11 KV GARRISION,HTEX,31015,0,0,FALSE,FALSE,FALSE,,,,,
158,Vishwamitri-East,Khodiyar Nagar,INDRAPURI,EARTH ICON,URBAN,31020,3423,37,FALSE,FALSE,FALSE,,,,,
159,Vishwamitri-East,Khodiyar Nagar,INDRAPURI,SAI SHRADDHA,URBAN,31022,2456,24,FALSE,FALSE,FALSE,,,,,
160,Vishwamitri-East,Khodiyar Nagar,INDRAPURI,RAJIVNAGAR,URBAN,31045,4174,40,FALSE,FALSE,FALSE,,,,,
161,Vishwamitri-East,Khodiyar Nagar,HARNI,SANGAM,URBAN,104301,2546,31,FALSE,FALSE,FALSE,,,,,
162,Vishwamitri-East,Khodiyar Nagar,HARNI,SAWAD,URBAN,104328,2222,19,FALSE,FALSE,FALSE,,,,,
163,Vishwamitri-East,Khodiyar Nagar,HARNI,AIRPORT,HTEX,104329,2,0,FALSE,FALSE,FALSE,,,,,
164,Vishwamitri-East,Khodiyar Nagar,SAMA,JALARAM,URBAN,107101,1398,28,FALSE,FALSE,FALSE,,,,,
165,Vishwamitri-East,Khodiyar Nagar,AMALIARA,DARJIPURA,URBAN,143801,362,16,FALSE,FALSE,FALSE,,,,,
166,Vishwamitri-East,Khodiyar Nagar,AMALIARA,MAA,URBAN,143808,2552,67,FALSE,FALSE,FALSE,,,,,
167,Vishwamitri-East,Khodiyar Nagar,AMALIARA,RADAR,URBAN,143809,517,16,FALSE,FALSE,FALSE,,,,,
168,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,11 KV SHRJI VILLA,URBAN,310003,5514,40,FALSE,FALSE,FALSE,,,,,
169,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,11 KV PANJARAPOLE,URBAN,310004,1077,13,FALSE,FALSE,FALSE,,,,,
